
map7	,AEuclidean,True,10.790382146835327,339,306,48,327,324,321,302,297,261,258,255,251,248,245,242,239,237,235,232,221,213,193,187,170,161,155,143,139,134,122,118,116,113,104,97,89,77,68,57,56,49,47,41,36,31,26,21,16,9,2,-1,
map8	,Breathfirst,True,4.292578935623169,183,182,23,181,178,175,171,165,157,148,139,129,117,104,90,77,64,52,42,33,24,18,13,7,2,-1,
map8	,Greedy_Euclideo,True,0.4071807861328125,75,42,25,73,72,69,67,65,63,61,59,57,51,34,32,29,28,25,23,20,18,16,14,11,8,5,2,-1,
map8	,Greedy_Manhattan,True,0.5510721206665039,85,50,35,84,82,80,78,76,74,72,70,68,61,56,52,49,47,46,45,43,41,39,37,35,33,31,29,26,23,20,17,14,11,9,7,5,2,-1,
map8	,Random,True,3.83805513381958,181,173,31,180,177,174,170,168,164,154,151,132,122,117,108,84,77,66,64,59,52,50,33,30,23,21,20,18,15,9,7,4,2,-1,
map8	,Dijkstra,True,3.9464850425720215,183,182,23,181,178,175,171,165,157,148,139,129,117,104,90,77,64,52,42,33,24,18,13,7,2,-1,
map8	,AEuclidean,True,2.9318172931671143,159,141,23,152,148,124,122,119,115,112,96,76,67,56,50,39,32,25,21,17,14,11,8,5,2,-1,
map8	,AManhattan,True,1.912743330001831,133,109,23,131,128,125,122,118,112,105,98,90,81,72,63,54,44,36,29,22,14,9,7,5,2,-1,
map8	,BidireccionalM,True,0.3021509647369385,90,1,26,0,5,9,17,26,35,43,49,54,60,63,67,73,77,81,85,89,64,48,37,25,16,12,8,3,-1,
map8	,BidireccionalM,True,0.3051300048828125,90,1,26,0,5,9,17,26,35,43,49,54,60,63,67,73,77,81,85,89,64,48,37,25,16,12,8,3,-1,
map8	,BidireccionalM,True,0.44521307945251465,90,1,26,0,5,9,17,26,35,43,49,54,60,63,67,73,77,81,85,89,64,48,37,25,16,12,8,3,-1,
map8	,BidireccionalM,True,166.94837188720703,90,1,26,0,5,9,17,26,35,43,49,54,60,63,67,73,77,81,85,89,64,48,37,25,16,12,8,3,-1,
map1	,BidireccionalM,True,5.250035047531128,21,1,8,0,5,11,16,19,14,3,-1,
map4	,BidireccionalM,True,59.851537227630615,317,1,65,0,4,8,14,23,31,37,42,44,48,50,61,68,79,91,107,115,129,135,141,148,150,156,165,169,174,183,195,265,267,268,269,271,273,276,281,290,293,303,305,306,308,314,311,302,288,263,233,160,145,132,112,101,89,78,69,58,49,46,38,28,19,12,2,-1,
map4	,BidireccionalM,True,147.25757026672363,317,1,65,0,4,8,14,23,31,37,42,44,48,50,61,68,79,91,107,115,129,135,141,148,150,156,165,169,174,183,195,265,267,268,269,271,273,276,281,290,293,303,305,306,308,314,311,302,288,263,233,160,145,132,112,101,89,78,69,58,49,46,38,28,19,12,2,-1,
map4	,BidireccionalM,True,15.867051124572754,313,1,61,0,4,8,14,23,31,37,42,46,49,59,69,79,90,102,113,124,131,136,142,148,152,159,165,174,178,184,194,205,218,229,240,251,262,271,274,277,305,311,309,302,290,268,233,157,145,129,110,100,88,78,68,58,48,44,38,28,19,12,2,-1,
map5	,BidireccionalE,True,5.913123846054077,341,317,49,0,7,22,35,46,55,63,74,84,96,100,116,118,143,160,184,201,216,230,235,239,245,266,275,281,301,313,337,334,328,325,311,299,282,264,243,217,191,166,130,98,94,82,72,62,49,26,3,-1,
map4	,BidireccionalE,True,5.302378177642822,311,293,61,0,4,8,14,23,31,37,42,48,53,63,73,83,94,104,113,125,131,137,142,148,153,159,166,174,178,184,192,203,220,234,248,260,279,291,305,304,300,296,293,287,264,235,185,157,144,129,110,102,92,82,72,62,52,44,39,30,19,12,2,-1,
map4	,BidireccionalE,True,5.357525110244751,311,293,61,0,4,8,14,23,31,37,42,48,53,63,73,83,94,104,113,125,131,137,142,148,153,159,166,174,178,184,192,203,220,234,248,260,279,291,305,304,300,296,293,287,264,235,185,157,144,129,110,102,92,82,72,62,52,44,39,30,19,12,2,-1,
